ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1206,0.004,0.000,0.009,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/mul.py:842(as_coeff_Mul)
7272,0.004,0.000,0.004,0.000,{built-in method gmpy2._mpmath_normalize}
283,0.004,0.000,0.006,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:1792(_exec_constructor_postprocessors)
2389,0.004,0.000,0.037,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/numbers.py:699(_eval_subs)
170/169,0.004,0.000,0.009,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/llvmlite/binding/ffi.py:149(__call__)
1240,0.004,0.000,0.009,0.000,/Users/yalinli_cabbi/OneDrive/Coding/tmo/thermosteam/_stream.py:931(_get_property_cache)
2996,0.004,0.000,0.015,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/numbers.py:674(__float__)
2821,0.004,0.000,0.006,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/mpmath/libmp/libmpf.py:64(dps_to_prec)
720/360,0.004,0.000,0.022,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/inspect.py:2218(_signature_from_callable)
3231,0.004,0.000,0.012,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/symbol.py:261(__new__)
360,0.004,0.000,0.009,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/inspect.py:2124(_signature_from_function)
1691,0.003,0.000,0.003,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/symbol.py:313(_eval_subs)
902,0.003,0.000,0.026,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/printing/str.py:668(_print_Float)
135/90,0.003,0.000,0.005,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/thermo/utils/t_dependent_property.py:1089(__repr__)
1877/816,0.003,0.000,0.386,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/printing/str.py:31(parenthesize)
