ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
77120,0.059,0.000,0.059,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/symbol.py:323(<dictcomp>)
239293/239289,0.057,0.000,0.368,0.000,{built-in method builtins.next}
77120,0.053,0.000,0.120,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/symbol.py:321(assumptions0)
133390/133315,0.053,0.000,0.142,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/sympify.py:92(sympify)
133708,0.050,0.000,0.050,0.000,/Users/yalinli_cabbi/OneDrive/Coding/bst/biosteam/_system.py:1026(feeds)
133706,0.047,0.000,0.047,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_bst_units.py:87(ODE)
133706,0.044,0.000,0.044,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_clarifier.py:310(ODE)
8053/1098,0.042,0.000,1.710,0.002,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:1029(fallback)
97360,0.042,0.000,0.060,0.000,<frozen importlib._bootstrap>:389(parent)
267412,0.042,0.000,0.042,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_bst_units.py:192(dy_dt)
178296,0.042,0.000,0.042,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/numpy/core/multiarray.py:716(dot)
294448,0.039,0.000,0.039,0.000,{method 'items' of 'dict' objects}
133775,0.038,0.000,0.038,0.000,/Users/yalinli_cabbi/OneDrive/Coding/tmo/thermosteam/indexer.py:105(data)
182957,0.037,0.000,0.037,0.000,{method 'get' of 'dict' objects}
234828,0.032,0.000,0.032,0.000,{built-in method builtins.hasattr}
70716,0.031,0.000,0.031,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:1997(__init__)
20240,0.030,0.000,0.124,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1281(searchsorted)
72594,0.030,0.000,0.546,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:362(__ne__)
190611,0.029,0.000,0.029,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:712(args)
133975,0.028,0.000,0.028,0.000,{method 'values' of 'dict' objects}
79729/79666,0.028,0.000,0.055,0.000,{built-in method builtins.sorted}
133771,0.027,0.000,0.027,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/numpy/core/multiarray.py:1054(copyto)
20240,0.027,0.000,0.195,0.000,<__array_function__ internals>:2(searchsorted)
133756,0.027,0.000,0.027,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/numpy/core/numeric.py:71(_zeros_like_dispatcher)
133756,0.026,0.000,0.026,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/numpy/core/multiarray.py:75(empty_like)
109391/104951,0.025,0.000,0.029,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/expr.py:125(__hash__)
22287,0.024,0.000,0.356,0.000,<__array_function__ internals>:2(norm)
20276,0.022,0.000,0.094,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
34358,0.021,0.000,0.053,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/numbers.py:1478(__hash__)
34764,0.020,0.000,0.032,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/numbers.py:807(__hash__)
3290/3029,0.019,0.000,0.034,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/compatibility.py:314(default_sort_key)
3505/155,0.018,0.000,0.300,0.002,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/printing/printer.py:293(_print)
97373,0.018,0.000,0.018,0.000,{method 'rpartition' of 'str' objects}
10576/1209,0.018,0.000,1.731,0.001,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:957(_subs)
584,0.017,0.000,0.039,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/facts.py:499(deduce_all_facts)
703/694,0.016,0.000,0.135,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/expr.py:1188(as_terms)
