OBJECTID,Site ID,Company,Corp,Site,State,PADD,Atmos. Crude Dist,Vacuum Dist,Catalytic Cracking,Hydro Cracking,"Thermal Cracking, Visbreaking",Catalytic Recorming,"Alkylates, Isomerization",Desulfurization,Fluid and Delayed Coking,Asphalt and Road Oil,Source,Period,Latitude,Longitude,Link_Imports,x,y
186,271,SAN JOAQUIN REFINING CO INC,SAN JOAQUIN REFINING CO INC,BAKERSFIELD,California,5,,14.3,,,5,,,5.4,,8,EIA-820 Refinery Capacity Report,"As of January 1, 2023",35.3873,-119.0479,,-13252354.06,4216643.12
187,275,WRB REFINING LP,WRB REFINING LP,WOOD RIVER,Illinois,2,,196.5,101,57.2,,79.7,21.8,281.4,83.7,28,EIA-820 Refinery Capacity Report,"As of January 1, 2023",38.8459,-90.0673,,-10026244.08,4699628.335
188,276,SHELL OIL PRODUCTS US,SHELL PLC,NORCO,Louisiana,3,,91.3,118.8,44,,40,18.1,189,28.5,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",30.0017,-90.4041,,-10063741.72,3503770.55
189,278,TESORO REFINING & MARKETING CO,MARATHON PETROLEUM CORP,ANACORTES,Washington,5,,48,54.5,,,29.5,25.7,105.5,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",48.4944,-122.5625,,-13643597.54,6189497.859
190,279,MARTINEZ REFINING CO LLC,PBF ENERGY CO LLC,MARTINEZ,California,5,,101,72,42.9,,31,27.8,262.5,49.3,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",38.02,-122.111,,-13593336.23,4582244.745
191,287,BP-HUSKY REFINING LLC,BP HUSKY REFINING LLC,TOLEDO,Ohio,2,,72.5,55,31.8,,42,11.5,117.5,36,9,EIA-820 Refinery Capacity Report,"As of January 1, 2023",41.68,-83.454,,-9290052.666,5113168.002
192,288,LIMA REFINING COMPANY,CENOVUS MARKETING (USA) INC,LIMA,Ohio,2,,57,45.3,26,,55,23.2,160,23,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",40.716,-84.1246,,-9364712.088,4970536.407
194,297,BP PRODUCTS NORTH AMERICA INC,BP PLC,WHITING,Indiana,2,,276.2,177,,,67,59.9,584.6,102,29.5,EIA-820 Refinery Capacity Report,"As of January 1, 2023",41.6681,-87.4803,,-9738258.888,5111391.813
195,300,TESORO REFINING & MARKETING CO,MARATHON PETROLEUM CORP,MANDAN,North Dakota,2,,,31.6,,,12.5,5,60.4,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",46.8498,-100.8838,,-11230329.57,5917597.186
196,301,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,GALVESTON BAY,Texas,3,,259.5,218,164,,146.5,65.5,430,30,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.3747,-94.9335,,-10567943.98,3423422.919
197,302,TESORO REFINING & MARKETING CO,MARATHON PETROLEUM CORP,SALT LAKE CITY,Utah,4,,,26.5,,,12,8,42,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",40.7923,-111.9055,,-12457258.27,4981756.269
198,308,TOLEDO REFINING CO LLC,PBF ENERGY CO LLC,TOLEDO,Ohio,2,,,82,52,,51.8,10,149.9,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",41.6289,-83.5049,,-9295725.173,5105550.054
199,309,HF SINCLAIR TULSA REFINING LLC,HF SINCLAIR CORP,TULSA WEST,Oklahoma,2,,32,,,,,0.9,49.6,11,6.5,EIA-820 Refinery Capacity Report,"As of January 1, 2023",36.1391,-96.0227,,-10689197.73,4319782.785
200,314,TESORO ALASKA COMPANY LLC,MARATHON PETROLEUM CORP,KENAI,Alaska,5,,26,,13,,13.5,5,24.5,,9.5,EIA-820 Refinery Capacity Report,"As of January 1, 2023",60.6823,-151.3767,,-16851174.38,8553244.596
201,317,HF SINCLAIR EL DORADO REFINING LLC,HF SINCLAIR CORP,EL DORADO,Kansas,2,,65,44,,,31,30.5,193,22.5,4,EIA-820 Refinery Capacity Report,"As of January 1, 2023",37.7975,-96.8727,,-10783815.41,4550854.914
202,322,HF SINCLAIR PUGET SOUND REFG LLC,HF SINCLAIR CORP,ANACORTES,Washington,5,,65.8,57.9,,,21.7,12.5,130.5,25.3,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",48.4707,-122.5562,,-13642898.68,6185521.686
203,329,US OIL & REFINING CO,PAR PETROLEUM INC,TACOMA,Washington,5,,19.2,,,,6.8,5,19.4,,9,EIA-820 Refinery Capacity Report,"As of January 1, 2023",47.2558,-122.3971,,-13625185.74,5983925.256
204,333,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,FERNDALE,Washington,5,,48.1,38,,,18.5,15.6,91.3,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",48.8305,-122.6966,,-13658525.04,6246149.746
205,335,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,LINDEN,New Jersey,1,,75,145,,,37,22.8,191,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",40.6359,-74.2224,,-8262394.208,4958780.908
206,336,MONROE ENERGY LLC,DELTA AIR LINES INC,TRAINER,Pennsylvania,1,,73,53,23,,50,12,190.6,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",39.8191,-75.4039,,-8393923.307,4839695.334
207,339,VALERO REFINING CO OKLAHOMA,VALERO ENERGY CORP,ARDMORE,Oklahoma,2,,32,30,14,,20.5,7,113,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",34.2044,-97.1018,,-10809322.26,4056281.085
208,340,SUNCOR ENERGY (USA) INC,SUNCOR ENERGY INC,COMMERCE CITY EAST,Colorado,4,,8.5,9.5,,,11,,11,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",39.8018,-104.9447,,-11682391.12,4837181.189
