t	X_CHL	X_ALG	X_PG	X_TAG	S_CO2	S_A	S_G	S_O2	S_NH	S_NO	S_P	X_N_ALG	X_P_ALG	Q
0.440972222	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.444444444	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.447916667	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.451388889	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.454861111	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.458333333	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.461805556	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.465277778	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.46875	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.472222222	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.475694444	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.479166667	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.482638889	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.486111111	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.489583333	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.493055556	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.496527778	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.5	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.503472222	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.506944444	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.510416667	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.513888889	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.517361111	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.520833333	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.524305556	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.527777778	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.53125	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.534722222	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.538194444	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.541666667	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.545138889	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.548611111	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.552083333	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.555555556	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.559027778	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.5625	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.565972222	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.569444444	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.572916667	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.576388889	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.579861111	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.583333333	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.586805556	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.590277778	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
