,biocrude_yield,fuel_yield,MFSP,GWP
89,0.9,0.4535704178737662,7.7672277042350055,-0.7857676535931208
90,0.91,0.4616210997857767,8.266759771326411,8.827932953505401
91,0.92,0.46621502427759204,7.597846105587663,0.674353803182184
92,0.93,0.4637251070072704,7.235790375696921,-1.2119428924823157
93,0.94,0.4716667118421951,7.018733802027958,-1.1945122485137396
94,0.95,0.4763141168879473,6.838014088121563,-1.2892434472538403
95,0.96,0.48073772693221883,6.661600994113275,-1.3972921589173728
96,0.97,0.4871125010858363,6.498502599430141,-1.242492610846533
97,0.98,0.4840184577780294,6.391575070715643,-1.5775775846054394
98,0.99,0.49558893768829404,6.146613193949883,-1.648656283699228
